match_date,host_country,host_city,stadium_name,match_type,match_period,first_batting_team,second_batting_team,first_batting_team_score,second_batting_team_score,winning_team,margin,margin_type,winning_condition,season,season_winner,note
03-05-2012,India,Pune,"Maharashtra Cricket Association Stadium, Pune",45th match,Night,Mumbai Indians,Pune Warriors,120/9,119/6,Mumbai Indians,1,runs,,2012,Kolkata Knight Riders,
02-05-2012,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",44th match,Night,Punjab Kings,Royal Challengers Bengaluru,158/5,163/6,Punjab Kings,4,wickets,1 balls remaining,2012,Kolkata Knight Riders,
01-05-2012,India,Jaipur,"Sawai Mansingh Stadium, Jaipur",43rd match,Night,Delhi Capitals,Rajasthan Royals,141/6,144/4,Delhi Capitals,6,wickets,28 balls remaining,2012,Kolkata Knight Riders,
01-05-2012,India,Cuttack,"Barabati Stadium, Cuttack",42nd match,Day/Night,Pune Warriors,Deccan Chargers,186/4,173/5,Deccan Chargers,13,runs,,2012,Kolkata Knight Riders,
30-04-2012,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",41st match,Night,Kolkata Knight Riders,Chennai Super Kings,139/5,140/5,Kolkata Knight Riders,5,wickets,2 balls remaining,2012,Kolkata Knight Riders,
29-04-2012,India,Mumbai,"Wankhede Stadium, Mumbai",40th match,Night,Deccan Chargers,Mumbai Indians,100/10,101/5,Mumbai Indians,5,wickets,11 balls remaining,2012,Kolkata Knight Riders,
29-04-2012,India,Delhi,"Arun Jaitley Stadium, Delhi",39th match,Day/Night,Rajasthan Royals,Delhi Capitals,152/6,151/3,Delhi Capitals,1,runs,,2012,Kolkata Knight Riders,
28-04-2012,India,Kolkata,"Eden Gardens, Kolkata",38th match,Night,Royal Challengers Bengaluru,Kolkata Knight Riders,190/4,143/6,Kolkata Knight Riders,47,runs,,2012,Kolkata Knight Riders,
28-04-2012,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",37th match,Day/Night,Punjab Kings,Chennai Super Kings,156/8,149/8,Punjab Kings,7,runs,,2012,Kolkata Knight Riders,
27-04-2012,India,Delhi,"Arun Jaitley Stadium, Delhi",36th match,Night,Mumbai Indians,Delhi Capitals,207/5,170/9,Delhi Capitals,37,runs,,2012,Kolkata Knight Riders,
26-04-2012,India,Pune,"Maharashtra Cricket Association Stadium, Pune",35th match,Night,Deccan Chargers,Pune Warriors,177/4,159/7,Deccan Chargers,18,runs,,2012,Kolkata Knight Riders,
25-04-2012,India,Mohali,I.S. Bindra Punjab Cricket Association Stadium,33rd match,Day/Night,Mumbai Indians,Punjab Kings,168/3,171/6,Mumbai Indians,4,wickets,1 balls remaining,2012,Kolkata Knight Riders,
24-04-2012,India,Pune,"Maharashtra Cricket Association Stadium, Pune",31st match,Day/Night,Delhi Capitals,Pune Warriors,146/2,148/2,Delhi Capitals,8,wickets,24 balls remaining,2012,Kolkata Knight Riders,
23-04-2012,India,Jaipur,"Sawai Mansingh Stadium, Jaipur",30th match,Night,Royal Challengers Bengaluru,Rajasthan Royals,189/3,143/7,Royal Challengers Bengaluru,46,runs,,2012,Kolkata Knight Riders,
22-04-2012,India,Cuttack,"Barabati Stadium, Cuttack",29th match,Night,Kolkata Knight Riders,Deccan Chargers,126/7,127/5,Kolkata Knight Riders,5,wickets,6 balls remaining,2012,Kolkata Knight Riders,
22-04-2012,India,Mumbai,"Wankhede Stadium, Mumbai",28th match,Day/Night,Punjab Kings,Mumbai Indians,163/6,164/4,Punjab Kings,6,wickets,3 balls remaining,2012,Kolkata Knight Riders,
21-04-2012,India,Delhi,"Arun Jaitley Stadium, Delhi",27th match,Night,Pune Warriors,Delhi Capitals,192/3,172/7,Pune Warriors,20,runs,,2012,Kolkata Knight Riders,
21-04-2012,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",26th match,Day/Night,Rajasthan Royals,Chennai Super Kings,146/4,147/3,Chennai Super Kings,7,wickets,,2012,Kolkata Knight Riders,
20-04-2012,India,Mohali,I.S. Bindra Punjab Cricket Association Stadium,25th match,Night,Royal Challengers Bengaluru,Punjab Kings,163/6,166/5,Royal Challengers Bengaluru,5,wickets,3 balls remaining,2012,Kolkata Knight Riders,
19-04-2012,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",24th match,Night,Pune Warriors,Chennai Super Kings,164/5,151/7,Chennai Super Kings,13,runs,,2012,Kolkata Knight Riders,
19-04-2012,India,Delhi,"Arun Jaitley Stadium, Delhi",23rd match,Day/Night,Deccan Chargers,Delhi Capitals,157/8,162/5,Delhi Capitals,5,wickets,5 balls remaining,2012,Kolkata Knight Riders,
18-04-2012,India,Mohali,I.S. Bindra Punjab Cricket Association Stadium,22nd match,Night,Kolkata Knight Riders,Punjab Kings,124/7,127/2,Kolkata Knight Riders,8,wickets,21 balls remaining,2012,Kolkata Knight Riders,
17-04-2012,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",21st match,Night,Pune Warriors,Royal Challengers Bengaluru,182/6,186/4,Royal Challengers Bengaluru,6,wickets,,2012,Kolkata Knight Riders,
17-04-2012,India,Jaipur,"Sawai Mansingh Stadium, Jaipur",20th match,Day/Night,Deccan Chargers,Rajasthan Royals,196/2,197/5,Rajasthan Royals,5,wickets,2 balls remaining,2012,Kolkata Knight Riders,
16-04-2012,India,Mumbai,"Wankhede Stadium, Mumbai",19th match,Night,Delhi Capitals,Mumbai Indians,92/10,93/3,Delhi Capitals,7,wickets,31 balls remaining,2012,Kolkata Knight Riders,
15-04-2012,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",18th match,Night,Rajasthan Royals,Royal Challengers Bengaluru,195/2,136/10,Rajasthan Royals,59,runs,,2012,Kolkata Knight Riders,
15-04-2012,India,Kolkata,"Eden Gardens, Kolkata",17th match,Day/Night,Punjab Kings,Kolkata Knight Riders,134/9,132/7,Punjab Kings,2,runs,,2012,Kolkata Knight Riders,
14-04-2012,India,Pune,"Maharashtra Cricket Association Stadium, Pune",16th match,Night,Chennai Super Kings,Pune Warriors,155/5,156/3,Pune Warriors,7,wickets,4 balls remaining,2012,Kolkata Knight Riders,
13-04-2012,India,Kolkata,"Eden Gardens, Kolkata",15th match,Night,Rajasthan Royals,Kolkata Knight Riders,131/5,137/5,Kolkata Knight Riders,5,wickets,4 balls remaining,2012,Kolkata Knight Riders,
12-04-2012,India,Mohali,I.S. Bindra Punjab Cricket Association Stadium,14th match,Night,Pune Warriors,Punjab Kings,115/10,116/3,Punjab Kings,7,wickets,14 balls remaining,2012,Kolkata Knight Riders,
12-04-2012,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",13th match,Day/Night,Royal Challengers Bengaluru,Chennai Super Kings,205/8,208/5,Chennai Super Kings,5,wickets,,2012,Kolkata Knight Riders,
11-04-2012,India,Mumbai,"Wankhede Stadium, Mumbai",12th match,Night,Rajasthan Royals,Mumbai Indians,197/6,170/10,Mumbai Indians,27,runs,,2012,Kolkata Knight Riders,
10-04-2012,India,Delhi,"Arun Jaitley Stadium, Delhi",11th match,Night,Chennai Super Kings,Delhi Capitals,110/8,111/2,Delhi Capitals,8,wickets,40 balls remaining,2012,Kolkata Knight Riders,
10-04-2012,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",10th match,Day/Night,Kolkata Knight Riders,Royal Challengers Bengaluru,165/8,123/9,Kolkata Knight Riders,42,runs,,2012,Kolkata Knight Riders,
09-04-2012,India,Visakhapatnam,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",9th match,Night,Mumbai Indians,Deccan Chargers,138/9,142/5,Mumbai Indians,5,wickets,,2012,Kolkata Knight Riders,
08-04-2012,India,Jaipur,"Sawai Mansingh Stadium, Jaipur",7th match,Day/Night,Kolkata Knight Riders,Rajasthan Royals,164/5,142/10,Rajasthan Royals,22,runs,,2012,Kolkata Knight Riders,
08-04-2012,India,Pune,"Maharashtra Cricket Association Stadium, Pune",8th match,Night,Punjab Kings,Pune Warriors,166/6,144/8,Pune Warriors,22,runs,,2012,Kolkata Knight Riders,
07-04-2012,India,Visakhapatnam,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",6th match,Night,Chennai Super Kings,Deccan Chargers,193/6,119/10,Chennai Super Kings,74,runs,,2012,Kolkata Knight Riders,
07-04-2012,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",5th match,Day/Night,Delhi Capitals,Royal Challengers Bengaluru,157/8,137/7,Royal Challengers Bengaluru,20,runs,,2012,Kolkata Knight Riders,
06-04-2012,India,Jaipur,"Sawai Mansingh Stadium, Jaipur",4th match,Night,Punjab Kings,Rajasthan Royals,191/4,160/9,Rajasthan Royals,31,runs,,2012,Kolkata Knight Riders,
06-04-2012,India,Mumbai,"Wankhede Stadium, Mumbai",3rd match,Day/Night,Pune Warriors,Mumbai Indians,129/9,101/9,Pune Warriors,28,runs,,2012,Kolkata Knight Riders,
05-04-2012,India,Kolkata,"Eden Gardens, Kolkata",2nd match,Night,Delhi Capitals,Kolkata Knight Riders,97/9,100/2,Delhi Capitals,8,wickets,5 balls remaining,2012,Kolkata Knight Riders,
04-04-2012,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",1st match,Night,Mumbai Indians,Chennai Super Kings,112/10,115/2,Mumbai Indians,8,wickets,19 balls remaining,2012,Kolkata Knight Riders,
28-05-2011,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Final,Night,Royal Challengers Bengaluru,Chennai Super Kings,205/5,147/8,Chennai Super Kings,58,runs,,2011,Chennai Super Kings,
27-05-2011,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2nd Qualifying Final,Night,Royal Challengers Bengaluru,Mumbai Indians,185/4,142/8,Royal Challengers Bengaluru,43,runs,,2011,Chennai Super Kings,
25-05-2011,India,Mumbai,"Wankhede Stadium, Mumbai",Elimination Final,Night,Kolkata Knight Riders,Mumbai Indians,147/7,148/6,Mumbai Indians,4,wickets,4 balls remaining,2011,Chennai Super Kings,
24-05-2011,India,Mumbai,"Wankhede Stadium, Mumbai",1st Qualifying Final,Night,Royal Challengers Bengaluru,Chennai Super Kings,175/4,177/4,Chennai Super Kings,6,wickets,2 balls remaining,2011,Chennai Super Kings,
22-05-2011,India,Kolkata,"Eden Gardens, Kolkata",70th match,Night,Mumbai Indians,Kolkata Knight Riders,175/7,178/5,Mumbai Indians,5,wickets,,2011,Chennai Super Kings,
22-05-2011,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",69th match,Day/Night,Chennai Super Kings,Royal Challengers Bengaluru,128/8,129/2,Royal Challengers Bengaluru,8,wickets,12 balls remaining,2011,Chennai Super Kings,
21-05-2011,India,Delhi,"Arun Jaitley Stadium, Delhi",68th match,Night,Pune Warriors,,56/3,,No Result,0,,,2011,Chennai Super Kings,
21-05-2011,India,Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala",67th match,Day/Night,Deccan Chargers,Punjab Kings,198/2,116/10,Deccan Chargers,82,runs,,2011,Chennai Super Kings,
20-05-2011,India,Mumbai,"Wankhede Stadium, Mumbai",66th match,Night,Rajasthan Royals,Mumbai Indians,133/5,134/0,Rajasthan Royals,10,wickets,41 balls remaining,2011,Chennai Super Kings,
19-05-2011,India,Navi Mumbai,"Dr DY Patil Sports Academy, Navi Mumbai",65th match,Night,Kolkata Knight Riders,Pune Warriors,118/7,119/3,Kolkata Knight Riders,7,wickets,20 balls remaining,2011,Chennai Super Kings,
18-05-2011,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",64th match,Night,Kochi Tuskers Kerala,Chennai Super Kings,152/5,141/5,Chennai Super Kings,11,runs,,2011,Chennai Super Kings,
17-05-2011,India,Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala",63rd match,Night,Royal Challengers Bengaluru,Punjab Kings,232/2,121/10,Punjab Kings,111,runs,,2011,Chennai Super Kings,
16-05-2011,India,Navi Mumbai,"Dr DY Patil Sports Academy, Navi Mumbai",62nd match,Night,Deccan Chargers,Pune Warriors,136/9,138/4,Deccan Chargers,6,wickets,4 balls remaining,2011,Chennai Super Kings,
15-05-2011,India,Indore,"Holkar Cricket Stadium, Indore",61st match,Night,Rajasthan Royals,Kochi Tuskers Kerala,97/10,98/2,Kochi Tuskers Kerala,8,wickets,76 balls remaining,2011,Chennai Super Kings,
15-05-2011,India,Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala",60th match,Day/Night,Delhi Capitals,Punjab Kings,170/6,141/8,Punjab Kings,29,runs,,2011,Chennai Super Kings,
14-05-2011,India,Mumbai,"Wankhede Stadium, Mumbai",59th match,Night,Deccan Chargers,Mumbai Indians,135/6,125/8,Deccan Chargers,10,runs,,2011,Chennai Super Kings,
14-05-2011,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",58th match,Day/Night,Kolkata Knight Riders,Royal Challengers Bengaluru,89/4,105/6,Royal Challengers Bengaluru,4,wickets,3 balls remaining D/L method,2011,Chennai Super Kings,
13-05-2011,India,Indore,"Holkar Cricket Stadium, Indore",57th match,Night,Punjab Kings,Kochi Tuskers Kerala,178/7,181/4,Punjab Kings,6,wickets,7 balls remaining,2011,Chennai Super Kings,
12-05-2011,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",56th match,Night,Delhi Capitals,Chennai Super Kings,176/4,158/6,Chennai Super Kings,18,runs,,2011,Chennai Super Kings,
11-05-2011,India,Jaipur,"Sawai Mansingh Stadium, Jaipur",55th match,Night,Royal Challengers Bengaluru,Rajasthan Royals,146/6,151/1,Royal Challengers Bengaluru,9,wickets,18 balls remaining,2011,Chennai Super Kings,
10-05-2011,India,Mohali,I.S. Bindra Punjab Cricket Association Stadium,54th match,Night,Mumbai Indians,Punjab Kings,163/8,87/10,Punjab Kings,76,runs,,2011,Chennai Super Kings,
10-05-2011,India,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",53rd match,Day/Night,Pune Warriors,Deccan Chargers,136/8,137/4,Pune Warriors,6,wickets,10 balls remaining,2011,Chennai Super Kings,
09-05-2011,India,Jaipur,"Sawai Mansingh Stadium, Jaipur",52nd match,Night,Chennai Super Kings,Rajasthan Royals,196/3,133/10,Chennai Super Kings,63,runs,,2011,Chennai Super Kings,
08-05-2011,India,Mohali,I.S. Bindra Punjab Cricket Association Stadium,51st match,Night,Pune Warriors,Punjab Kings,119/8,120/5,Pune Warriors,5,wickets,17 balls remaining,2011,Chennai Super Kings,
08-05-2011,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",50th match,Day/Night,Kochi Tuskers Kerala,Royal Challengers Bengaluru,125/9,128/1,Royal Challengers Bengaluru,9,wickets,41 balls remaining,2011,Chennai Super Kings,
07-05-2011,India,Kolkata,"Eden Gardens, Kolkata",48th match,Day/Night,Chennai Super Kings,Kolkata Knight Riders,114/4,61/2,Kolkata Knight Riders,10,runs,D/L method,2011,Chennai Super Kings,
07-05-2011,India,Mumbai,"Wankhede Stadium, Mumbai",49th match,Night,Delhi Capitals,Mumbai Indians,178/4,146/10,Mumbai Indians,32,runs,,2011,Chennai Super Kings,
06-05-2011,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",47th match,Night,Punjab Kings,Royal Challengers Bengaluru,205/6,120/9,Royal Challengers Bengaluru,85,runs,,2011,Chennai Super Kings,
05-05-2011,India,Kochi,"Nehru Stadium, Kochi",45th match,Day/Night,Kolkata Knight Riders,Kochi Tuskers Kerala,156/5,139/7,Kochi Tuskers Kerala,17,runs,,2011,Chennai Super Kings,
05-05-2011,India,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",46th match,Night,Delhi Capitals,Deccan Chargers,175/5,179/6,Delhi Capitals,4,wickets,6 balls remaining,2011,Chennai Super Kings,
04-05-2011,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",43rd match,Day/Night,Rajasthan Royals,Chennai Super Kings,147/6,149/2,Chennai Super Kings,8,wickets,8 balls remaining,2011,Chennai Super Kings,
04-05-2011,India,Navi Mumbai,"Dr DY Patil Sports Academy, Navi Mumbai",44th match,Night,Mumbai Indians,Pune Warriors,160/7,139/7,Mumbai Indians,21,runs,,2011,Chennai Super Kings,
03-05-2011,India,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",42nd match,Night,Kolkata Knight Riders,Deccan Chargers,169/4,149/6,Kolkata Knight Riders,20,runs,,2011,Chennai Super Kings,
02-05-2011,India,Delhi,"Arun Jaitley Stadium, Delhi",41st match,Night,Kochi Tuskers Kerala,Delhi Capitals,140/6,141/3,Kochi Tuskers Kerala,7,wickets,30 balls remaining,2011,Chennai Super Kings,
02-05-2011,India,Mumbai,"Wankhede Stadium, Mumbai",40th match,Day/Night,Punjab Kings,Mumbai Indians,159/5,136/8,Mumbai Indians,23,runs,,2011,Chennai Super Kings,
01-05-2011,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",39th match,Night,Deccan Chargers,Chennai Super Kings,165/5,146/8,Chennai Super Kings,19,runs,,2011,Chennai Super Kings,
01-05-2011,India,Jaipur,"Sawai Mansingh Stadium, Jaipur",38th match,Day/Night,Pune Warriors,Rajasthan Royals,143/7,144/4,Rajasthan Royals,6,wickets,3 balls remaining,2011,Chennai Super Kings,
30-04-2011,India,Kolkata,"Eden Gardens, Kolkata",37th match,Night,Punjab Kings,Kolkata Knight Riders,119/6,120/2,Kolkata Knight Riders,8,wickets,16 balls remaining,2011,Chennai Super Kings,
30-04-2011,India,Kochi,"Nehru Stadium, Kochi",36th match,Day/Night,Delhi Capitals,Kochi Tuskers Kerala,157/7,119/10,Delhi Capitals,38,runs,,2011,Chennai Super Kings,
29-04-2011,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",35th match,Night,Pune Warriors,Royal Challengers Bengaluru,181/5,155/5,Royal Challengers Bengaluru,26,runs,,2011,Chennai Super Kings,
29-04-2011,India,Jaipur,"Sawai Mansingh Stadium, Jaipur",34th match,Day/Night,Mumbai Indians,Rajasthan Royals,94/8,95/3,Rajasthan Royals,7,wickets,11 balls remaining,2011,Chennai Super Kings,
28-04-2011,India,Delhi,"Arun Jaitley Stadium, Delhi",33rd match,Night,Kolkata Knight Riders,Delhi Capitals,148/7,131/9,Kolkata Knight Riders,17,runs,,2011,Chennai Super Kings,
27-04-2011,India,Kochi,"Nehru Stadium, Kochi",32nd match,Night,Deccan Chargers,Kochi Tuskers Kerala,129/7,74/10,Deccan Chargers,55,runs,,2011,Chennai Super Kings,
27-04-2011,India,Navi Mumbai,"Dr DY Patil Sports Academy, Navi Mumbai",31st match,Day/Night,Chennai Super Kings,Pune Warriors,141/6,145/2,Chennai Super Kings,8,wickets,3 balls remaining,2011,Chennai Super Kings,
26-04-2011,India,Delhi,"Arun Jaitley Stadium, Delhi",30th match,Night,Royal Challengers Bengaluru,Delhi Capitals,160/6,161/7,Royal Challengers Bengaluru,3,wickets,3 balls remaining,2011,Chennai Super Kings,
25-04-2011,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",29th match,Night,Pune Warriors,Chennai Super Kings,142/6,117/9,Chennai Super Kings,25,runs,,2011,Chennai Super Kings,
24-04-2011,India,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",27th match,Day/Night,Mumbai Indians,Deccan Chargers,172/4,135/8,Mumbai Indians,37,runs,,2011,Chennai Super Kings,
24-04-2011,India,Jaipur,"Sawai Mansingh Stadium, Jaipur",28th match,Night,Kochi Tuskers Kerala,Rajasthan Royals,109/10,111/2,Rajasthan Royals,8,wickets,35 balls remaining,2011,Chennai Super Kings,
23-04-2011,India,Delhi,"Arun Jaitley Stadium, Delhi",26th match,Night,Punjab Kings,Delhi Capitals,231/4,202/6,Delhi Capitals,29,runs,,2011,Chennai Super Kings,
22-04-2011,India,Kolkata,"Eden Gardens, Kolkata",24th match,Day/Night,Royal Challengers Bengaluru,Kolkata Knight Riders,171/5,175/1,Royal Challengers Bengaluru,9,wickets,11 balls remaining,2011,Chennai Super Kings,
22-04-2011,India,Mumbai,"Wankhede Stadium, Mumbai",25th match,Night,Chennai Super Kings,Mumbai Indians,164/4,156/9,Mumbai Indians,8,runs,,2011,Chennai Super Kings,
21-04-2011,India,Mohali,I.S. Bindra Punjab Cricket Association Stadium,23rd match,Night,Rajasthan Royals,Punjab Kings,195/7,147/7,Punjab Kings,48,runs,,2011,Chennai Super Kings,
20-04-2011,India,Kolkata,"Eden Gardens, Kolkata",22nd match,Night,Kochi Tuskers Kerala,Kolkata Knight Riders,132/7,126/9,Kochi Tuskers Kerala,6,runs,,2011,Chennai Super Kings,
20-04-2011,India,Mumbai,"Wankhede Stadium, Mumbai",21st match,Day/Night,Pune Warriors,Mumbai Indians,118/10,124/3,Mumbai Indians,7,wickets,,2011,Chennai Super Kings,
19-04-2011,India,Delhi,"Arun Jaitley Stadium, Delhi",19th match,Day/Night,Deccan Chargers,Delhi Capitals,168/4,152/7,Deccan Chargers,16,runs,,2011,Chennai Super Kings,
18-04-2011,India,Kochi,"Nehru Stadium, Kochi",18th match,Night,Chennai Super Kings,Kochi Tuskers Kerala,131/4,135/3,Kochi Tuskers Kerala,7,wickets,12 balls remaining D/L method,2011,Chennai Super Kings,
17-04-2011,India,Kolkata,"Eden Gardens, Kolkata",17th match,Night,Rajasthan Royals,Kolkata Knight Riders,81/10,85/2,Kolkata Knight Riders,8,wickets,37 balls remaining,2011,Chennai Super Kings,
17-04-2011,India,Navi Mumbai,"Dr DY Patil Sports Academy, Navi Mumbai",16th match,Day/Night,Delhi Capitals,Pune Warriors,187/5,190/7,Delhi Capitals,3,wickets,4 balls remaining,2011,Chennai Super Kings,
16-04-2011,India,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",15th match,Night,Punjab Kings,Deccan Chargers,165/8,166/2,Punjab Kings,8,wickets,14 balls remaining,2011,Chennai Super Kings,
16-04-2011,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",14th match,Day/Night,Royal Challengers Bengaluru,Chennai Super Kings,183/5,162/7,Chennai Super Kings,21,runs,,2011,Chennai Super Kings,
15-04-2011,India,Jaipur,"Sawai Mansingh Stadium, Jaipur",12th match,Day/Night,Kolkata Knight Riders,Rajasthan Royals,159/4,160/1,Kolkata Knight Riders,9,wickets,9 balls remaining,2011,Chennai Super Kings,
15-04-2011,India,Mumbai,"Wankhede Stadium, Mumbai",13th match,Night,Kochi Tuskers Kerala,Mumbai Indians,182/2,184/2,Kochi Tuskers Kerala,8,wickets,6 balls remaining,2011,Chennai Super Kings,
14-04-2011,India,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",11th match,Night,Royal Challengers Bengaluru,Deccan Chargers,175/5,142/9,Deccan Chargers,33,runs,,2011,Chennai Super Kings,
13-04-2011,India,Mohali,I.S. Bindra Punjab Cricket Association Stadium,9th match,Day/Night,Chennai Super Kings,Punjab Kings,188/4,193/4,Punjab Kings,6,wickets,5 balls remaining,2011,Chennai Super Kings,
13-04-2011,India,Navi Mumbai,"Dr DY Patil Sports Academy, Navi Mumbai",10th match,Night,Kochi Tuskers Kerala,Pune Warriors,148/8,151/6,Pune Warriors,4,wickets,7 balls remaining,2011,Chennai Super Kings,
12-04-2011,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",8th match,Night,Mumbai Indians,Royal Challengers Bengaluru,140/4,143/1,Mumbai Indians,9,wickets,9 balls remaining,2011,Chennai Super Kings,
12-04-2011,India,Jaipur,"Sawai Mansingh Stadium, Jaipur",7th match,Day/Night,Delhi Capitals,Rajasthan Royals,151/6,152/4,Rajasthan Royals,6,wickets,9 balls remaining,2011,Chennai Super Kings,
11-04-2011,India,Kolkata,"Eden Gardens, Kolkata",6th match,Night,Deccan Chargers,Kolkata Knight Riders,163/4,154/8,Kolkata Knight Riders,9,runs,,2011,Chennai Super Kings,
10-04-2011,India,Navi Mumbai,"Dr DY Patil Sports Academy, Navi Mumbai",5th match,Night,Punjab Kings,Pune Warriors,112/8,113/3,Pune Warriors,7,wickets,41 balls remaining,2011,Chennai Super Kings,
10-04-2011,India,Delhi,"Arun Jaitley Stadium, Delhi",4th match,Day/Night,Mumbai Indians,Delhi Capitals,95/10,99/2,Mumbai Indians,8,wickets,19 balls remaining,2011,Chennai Super Kings,
09-04-2011,India,Kochi,"Nehru Stadium, Kochi",3rd match,Night,Royal Challengers Bengaluru,Kochi Tuskers Kerala,161/5,162/4,Royal Challengers Bengaluru,6,wickets,8 balls remaining,2011,Chennai Super Kings,
09-04-2011,India,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2nd match,Day/Night,Rajasthan Royals,Deccan Chargers,137/8,141/2,Rajasthan Royals,8,wickets,7 balls remaining,2011,Chennai Super Kings,
08-04-2011,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",1st match,Night,Kolkata Knight Riders,Chennai Super Kings,153/4,151/7,Chennai Super Kings,2,runs,,2011,Chennai Super Kings,
25-04-2010,India,Navi Mumbai,"Dr DY Patil Sports Academy, Navi Mumbai",Final,Night,Chennai Super Kings,Mumbai Indians,168/5,146/9,Chennai Super Kings,22,runs,,2010,Chennai Super Kings,
24-04-2010,India,Navi Mumbai,"Dr DY Patil Sports Academy, Navi Mumbai",3rd Place Play-off,Night,Royal Challengers Bengaluru,Deccan Chargers,82/10,86/1,Royal Challengers Bengaluru,9,wickets,37 balls remaining,2010,Chennai Super Kings,
22-04-2010,India,Navi Mumbai,"Dr DY Patil Sports Academy, Navi Mumbai",2nd Semi-Final,Night,Deccan Chargers,Chennai Super Kings,142/7,104/10,Chennai Super Kings,38,runs,,2010,Chennai Super Kings,
21-04-2010,India,Navi Mumbai,"Dr DY Patil Sports Academy, Navi Mumbai",1st Semi-Final,Night,Royal Challengers Bengaluru,Mumbai Indians,184/5,149/9,Mumbai Indians,35,runs,,2010,Chennai Super Kings,
19-04-2010,India,Kolkata,"Eden Gardens, Kolkata",56th match,Night,Mumbai Indians,Kolkata Knight Riders,133/8,135/1,Kolkata Knight Riders,9,wickets,15 balls remaining,2010,Chennai Super Kings,
18-04-2010,India,Delhi,"Arun Jaitley Stadium, Delhi",55th match,Night,Deccan Chargers,Delhi Capitals,145/7,134/7,Deccan Chargers,11,runs,,2010,Chennai Super Kings,
18-04-2010,India,Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala",54th match,Day/Night,Chennai Super Kings,Punjab Kings,192/3,195/4,Chennai Super Kings,6,wickets,2 balls remaining,2010,Chennai Super Kings,
17-04-2010,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",52nd match,Day/Night,Mumbai Indians,Royal Challengers Bengaluru,191/4,134/9,Mumbai Indians,57,runs,,2010,Chennai Super Kings,
17-04-2010,India,Kolkata,"Eden Gardens, Kolkata",53rd match,Night,Rajasthan Royals,Kolkata Knight Riders,132/9,133/2,Kolkata Knight Riders,8,wickets,23 balls remaining,2010,Chennai Super Kings,
16-04-2010,India,Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala",51st match,Night,Deccan Chargers,Punjab Kings,174/3,178/5,Deccan Chargers,5,wickets,5 balls remaining,2010,Chennai Super Kings,
15-04-2010,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",50th match,Night,Delhi Capitals,Chennai Super Kings,112/9,113/4,Delhi Capitals,6,wickets,8 balls remaining,2010,Chennai Super Kings,
14-04-2010,India,Jaipur,"Sawai Mansingh Stadium, Jaipur",49th match,Night,Royal Challengers Bengaluru,Rajasthan Royals,130/6,132/5,Royal Challengers Bengaluru,5,wickets,26 balls remaining,2010,Chennai Super Kings,
